Arrival time [pins:81]
----------------------------------------------------------
       E/R         E/F         L/R         L/F         Pin
----------------------------------------------------------
   140.315     149.541     153.755     163.954   inst_22:A
   171.820     183.315     188.580     201.286   inst_22:Z
   110.877     117.783     120.937     128.571   inst_28:A
   142.037     151.179     155.380     165.486   inst_28:Z
     0.718       0.718       0.718       0.718   inst_11:A
     3.475       5.780       3.765       6.313  inst_11:ZN
   206.146     219.919     226.238     241.463   inst_23:Z
   199.516     220.952     218.909     242.600   inst_4:A1
     0.908       0.908       0.908       0.908   inst_4:A2
    20.723      11.250     257.832     228.064   inst_4:ZN
     3.035       5.328       3.330       5.864  inst_10:ZN
    12.086      15.590     265.061     290.500   inst_5:A2
    10.596       7.121     308.833     274.980   inst_5:ZN
    12.083      15.587     265.057     290.496   inst_9:ZN
    40.046      30.097     440.401     440.748   inst_6:A1
     3.503       5.808       3.794       6.341   inst_6:A2
   199.494     220.930     218.887     242.578   inst_3:A1
    10.636       9.469     285.006     262.148   inst_7:ZN
   138.339     147.565     151.779     161.978   inst_21:Z
    20.994      11.503     258.054     228.267   inst_1:A1
    20.865      11.392     257.973     228.206   inst_2:A1
   174.521     186.015     191.281     203.986   inst_23:A
   274.707     293.016     301.436     321.675   inst_25:Z
    21.484      20.993     308.806     274.894   inst_2:ZN
    35.543      47.151     446.828     448.295  inst_12:ZN
     2.711       2.711       2.711       2.711   inst_18:A
    39.980      30.032     440.335     440.683   inst_12:A
    10.643       9.475     285.012     262.155    inst_9:A
   243.169     259.207     266.576     284.304   inst_25:A
   106.641     113.581     116.741     124.412   inst_21:A
     0.000       0.000       0.000       0.000          G1
     0.000       0.000       0.000       0.000          G2
    40.088      30.140     440.443     440.790   inst_15:D
    12.194      15.698     265.169     290.608   inst_2:A2
     0.153       0.153       0.153       0.153   inst_13:A
   142.208     151.350     155.552     165.657  inst_14:CK
     0.000       0.000       0.000       0.000          G3
    35.806      47.414     447.090     448.557         G17
     0.240       0.240       0.240       0.240   inst_10:A
    16.821       9.164     239.360     265.368   inst_1:ZN
    10.640       7.165     308.877     275.024   inst_14:D
    71.562      76.171      78.273      83.367   inst_19:Z
   388.574     369.304     427.153     405.816   inst_8:ZN
     0.000       0.000       0.000       0.000     clk_net
   229.610     251.357     252.155     276.191  inst_14:QN
    22.323      12.448     452.092     447.991   inst_6:ZN
     0.937       0.937       0.937       0.937   inst_3:A2
     0.387       0.387       0.387       0.387   inst_1:A2
     0.000       0.000       0.000       0.000   reset_net
   276.287     294.596     303.016     323.255  inst_16:CK
    40.022      42.356      43.409      45.989   inst_19:A
    21.614      21.123     308.936     275.024   inst_0:A1
     0.000       0.000       0.000       0.000          G0
   364.617     386.086     400.628     424.356    inst_8:A
     7.445       8.436       8.193       9.288  inst_14:RN
   229.650     251.397     252.195     276.231   inst_7:A2
     0.263       0.263       0.263       0.263   inst_5:A1
    72.828      77.452      79.555      84.666   inst_26:Z
     7.476       8.467       8.225       9.320  inst_15:RN
     3.159       5.451       3.453       5.987   inst_7:A1
    76.741      81.365      83.467      88.578   inst_27:A
   106.382     113.322     116.482     124.153   inst_20:Z
    74.201      78.810      80.912      86.006   inst_20:A
   108.387     115.294     118.448     126.082   inst_27:Z
    41.131      43.465      44.519      47.099   inst_26:A
    39.788      29.839     440.142     440.490   inst_0:ZN
    34.896      37.230      38.283      40.863   inst_18:Z
    17.011       9.353     239.550     265.557   inst_0:A3
   199.431     220.866     218.823     242.514  inst_15:QN
   237.682     213.687     261.101     234.579   inst_15:Q
   111.167     118.107     121.267     128.939  inst_15:CK
   268.719     244.723     295.380     268.858   inst_14:Q
     7.262       8.252       8.010       9.105  inst_13:ZN
   364.456     385.925     400.466     424.195  inst_16:QN
    20.785      11.294     257.845     228.058   inst_3:ZN
   402.799     378.803     442.845     416.323   inst_16:Q
    22.356      12.481     452.125     448.024   inst_16:D
   388.688     369.418     427.267     405.930   inst_0:A2
   240.487     256.525     263.893     281.622   inst_24:Z
     7.493       8.484       8.241       9.336  inst_16:RN
   209.025     222.798     229.116     244.341   inst_24:A
